" not found!",未找到！
"Enter a Module name",输入模块名称
"Enter the App ID","输入App ID"
"Enter the App Secret","输入App Secret"
"Enter your Api Key",输入您的Api密钥
"Enter your Email",输入你的电子邮箱
"Error downloading layers",下载图层时出错
"Error downloading layers data",下载图层数据时出错
"Error downloading object",下载对象时出错
Events,活动
"Exceeded filesize limit.",超出文件大小限制。
Excerpt,摘抄
"External Image",外部图像
"External Scroll",外部滚动
"FREE POSITIONED LAYERS",免费定位层
"FaceBook Settings",FaceBook设置
"Factor on Layers",层上因素
"Factory Skins",工厂皮肤
Fade,褪色
"Fade Settings",淡入淡出设置
"Fallback Settings",后备设置
"Favorite Count",最爱的伯爵
"Featured Only",仅限精选
"Fetch By",获取
Filename,文件名
Filter,过滤
"Filter Effect Scroll Based",滤镜效果滚动
"Filter Hover",过滤悬停
Filters,过滤器
"Find My Code",找到我的代码
"Find information about the YouTube API key <a target=""_blank"" href=""https://developers.google.com/youtube/v3/getting-started#before-you-start"">here</a>","查找有关YouTube API密钥的信息<a target=""_blank"" href=""https://developers.google.com/youtube/v3/getting-started#before-you-start"">此处</ a >"
"Finnished with slide change",完成幻灯片更改
"First Slide",第一张幻灯片
"Five Spikes",五尖刺
"Fix during Scroll",在滚动期间修复
"Fixed on Top",固定在顶部
"Flickr Settings",Flickr设置
Float,浮动
Follow,跟随
"Follow Link",关注链接
Font,字形
"Font & Icon",字体和图标
"Font Family",字体系列
"Font Hover Style",字体悬停风格
"Force Cover Mode",强制覆盖模式
"Force Lazy Loading",强制延迟加载
"Force Overflow Visible",强制溢出可见
"Force Prepare",强制准备
Forward,向前
"Four Spikes",四个尖刺
"Frame Alias",帧别名
"Frame M",框架M.
"Frame N",帧N.
From,从
"From Bottom",从底部
"From Left",从左边开始
"From Right",来自右边
"From Slider Settings","从Slider
设置 "
"From Stream",来自Stream
"From Top",从顶部
Front,面前
"Full Height",全高
"Full Width",全屏宽度
Full-Screen,全屏
Full-Width,全屏宽度
Function,功能
Gallery,画廊
"Gallery URL",图库URL
Gap,间隙
"Gap (Border)",差距（边界）
General,一般
"General Settings",常规设置
"Get access to the latest News from ThemePunch. We promise to never send you Spam!",从中获取最新消息ThemePunch。我们承诺永远不会向您发送垃圾邮件！
"Get the amount of existing slides in the slider.",获取滑块中现有幻灯片的数量。
"Get the current focused slide index.",获取当前关注的幻灯片索引。
"Get the previously played slide.",获取之前播放的幻灯片。
"Global Layer Settings",全局图层设置
"Global Layers",全局图层
"Global Layers Timeline",全局图层时间轴
"Global Settings",全局设置
"Global Style Presets",全局样式预设
"Global Value ! Option to find under Slider Settings - Parallax Tab","全球价值！在滑块设置 - 视差选项卡下查找的选项"
Globals,全局
"Go To Slide","去 Slide"
"Go To Slide with ID",去Slide同ID
"Go to Editor",转到编辑
"GoTo Frame",GoTo框架
"Good Afternoon ",下午好
"Good Evening ",晚上好
"Good Morning ",早上好
"Google Fonts",谷歌字体
Grayscale,灰度
"Grid = Module",网格=模块
Group,组
"Group URL",组URL
"HML5 Video",HML5视频
"HTML5 Autoplay",HTML5自动播放
"HTML5 Video",HTML5视频
Handle,处理
Handling,处理
Height,高度
"Height Attrib.",高度属性
Hidden,隐
"Hidden in Navigation",隐藏在导航中
"Hide ""Under"" Width",隐藏“在”宽度下
"Hide Highlight Boxes",隐藏突出显示框
"Hide Over",隐藏
"Hide Under",隐藏下
"Hide Under Browser width...",在浏览器宽度下隐藏...
"Hierarchy Sticky",层次结构粘滞
High,高
Horizontal,横
Hover,徘徊
"Hover Transform",悬停变换
"Hover View",悬停视图
"ID of Element","ID 元素"
Icon,图标
"Icon / SVG","图标/ SVG"
Idle,闲
"If you want to use Slider Revolution on another domain, please <a href=""https://codecanyon.net/item/slider-revolution-responsive-magento-extension/9332896?ref=nwdthemes&license=regular&open_purchase_for_item_id=2751380&purchasable=source"" target=""_blank"">purchase another license</a>","如果你想在另一个领域使用Slider Revolution，请<a href = “https://codecanyon.net/item/slider-revolution-responsive-wordpress-plugin/2751380?ref = themepunch＆license = regular＆open_purchase_for_item_id = 2751380＆purchasable = source  “target = ”_ blank “>购买另一个许可证</a>"
"Ignore Lazy Loading",忽略延迟加载
Image,图片
"Image Layer Content",图像层内容
"Image URL",图片网址
"Image from Stream if exist",如果存在，来自Stream的图像
"Image from Stream if exists",如果存在，来自Stream的图像
Images,图片
"Import Layer",导入图层
"Import Selected Layers",导入所选图层
"Import file not found",找不到导入文件
"In Stock Only",仅限库存
"Index of Current Slide",当前幻灯片的索引
"Infinity Scroll",无限滚动
Inherit,继承
"Initialization Delay",初始化延迟
"Inline Mode",内联模式
Inline-Block,inline-block的
Inner,内
"Inner / Outer",内/外
"Instagram Settings",Instagram设置
"Instagram reports: Content did not match expected",Instagram报道：内容与预期不符
"Instagram reports: Content is private",Instagram报道：内容是私密的
"Instagram reports: Parse script error",Instagram报道：解析脚本错误
"Installed Version",已安装的版本
"Intelligent Inheriting",智能继承
Interaction,相互作用
"Invalid ID",ID无效
"Inverse Toggled Content",反向切换内容
"Invert Horizontal",反转水平
"Invert Vertical",反转垂直
Inverts,反转
"John Doe",约翰·多伊
"Jump to Slide",跳到Slide
"Keep Breakpoint Heights",保持断点高度
"Keep Last State",保持最后状态
"Ken Burns",肯伯恩斯
Keyboard,键盘
"Keyboard Arrow Navigation",键盘箭头导航
"Keyboard Settings",键盘设置
Keyframes,关键帧
"Kill Slider","杀 Slider"
Large,大
"Large Controls",大型控制
"Large Square",大广场
"Last Slide",持续Slide
"Last Slide Started, Slider is at the end",最后一张幻灯片开始，Slider就在最后
"Last slide starts",上一张幻灯片开始
Layer,层
"Layer Action (enterstage, enteredstage, leavestage,leftstage)",图层动作（输入，进入舞台，离开舞台，离开舞台）
"Layer Align",图层对齐
"Layer Area",图层区域
"Layer Area Size",图层区域大小
"Layer Container",图层容器
"Layer Events",图层事件
"Layer ID",图层ID
"Layer Import",图层导入
"Layer Library",图层库
"Layer Loop Animations",图层循环动画
"Layer Looping Effects",层循环效果
"Layer Type (image,video,html)",图层类型（图像，视频，html）
"Layer as jQuery Object",图层为jQuery对象
"Layer is Global",图层是全局的
"Layer options",图层选项
Layers,图层
"Layers Overflow Hidden",图层溢出隐藏
"Layers Speed",图层速度
"Layers Visible",图层可见
"Layers are Selectable",图层是可选择的
"Layers default Enabled",图层默认为已启用
Layout,布局
"Lazy Loading",延迟加载
Left,剩下
"Left Arrow",左箭头
"Left Bottom",左下角
"Left Corner",左角
"Left Spike",左穗
"Left Top",左上方
"Left/Right Arrow Keys",左/右箭头键
Less,减
Level,水平
"Limit Excerpt",限制摘录
Line,线
"Line Break",越线
Line-through,行通
"Link & Seo",Link＆Seo
"Link Target",链接目标
"Link Type",链接类型
"Link URL",链接URL
"Link to Slide",链接到幻灯片
Load,加载
"Load Loop Template",加载循环模板
"Loaded Google Fonts",已加载的Google字体
"Loading Type",装载类型
"Lock/Unlock Selected",锁定/解锁已选中
"Loop All Layer Timeline",循环所有图层时间轴
"Loop Amount",循环金额
"Loop Layer",循环层
"Loop Layers",循环图层
"Loop Mode",循环模式
"Loop One Slide",循环一幻灯片
"Low Resolution",低解析度
Lowercase,小写
"Main Style",主要风格
"Manual Import",手动导入
"Marked Layers",标记的图层
Markup,标记
"Markup Meta",标记元
Mask,面具
"Max Blur Strength",最大模糊力量
"Max Width",最大宽度
"Max. Post Size (256M)",最大。邮政大小（256M）
"Max. Res.","最大。 RES。"
"Max. Visible",最大。可见
"Media Content",媒体内容
"Media Library",媒体库
"Media Poster",媒体海报
"Media Volume (0-100)",媒体量（0-100）
Medium,介质
"Medium 640",中等640
"Medium 800",中等800
"Memory Limit (256M)",内存限制（256M）
Middle,中间
"Middle To Edge",中到边缘
"Min Height",最小高度
"Min. Finger",闵。手指
Mobile,移动
"Mobile Settings",移动设置
"Mobile Swipe Enabled",移动滑动已启用
"Module Admin Thumbnail",模块管理员缩略图
"Module Background",模块背景
"Module Classes",模块类
"Module Creation Guide",模块创建指南
"Module Defaults",模块默认值
"Module Dimension",模块尺寸
"Module Dimensions",模块尺寸
"Module Fixed From",模块固定
"Module Fixed Until",模块固定直到
"Module General Options",模块常规选项
"Module ID",模块ID
"Module Naming",模块命名
"Module Position within Wrapper",包装器中的模块位置
"Module Type",模块类型
Modules,模块
"Monospace Fonts",等宽字体
More,更多
Mouse,老鼠
"Mouse Enter",鼠标输入
"Mouse Enter Point",鼠标输入点
"Mouse Interaction",鼠标互动
"Mouse Leave",鼠标离开
"Mouse Move",鼠标移动
"Mouse Move & Scroll",鼠标移动和滚动
"Mouse Scroll Navigation",鼠标滚动导航
"Mouse Scroll Settings",鼠标滚动设置
"Mouse Speed",鼠标速度
Move,移动
"Multiple Selection",多重选择
"Mute at Start",开始时静音
"Nav Editor",导航编辑器
"Nav Image Dimensions",导航图像尺寸
"Navig. Thumb",Navig。拇指
"Navigation Editor",导航编辑器
"Navigation Options",导航选项
"Navigation Style",导航风格
"Navigation could not be deleted",导航无法删除
"Navigation not found, could not add preset",找不到导航，无法添加预设
"Navigation not found, could not delete preset",找不到导航，无法删除预设
"New Blank Module",新的空白模块
"New Module from Template",模板中的新模块
"New Window",新窗户
News,新闻
"Next Slide",下一个Slide
"Next Slide at End",下一个Slide在结束
"Next Step",下一步
"Next on Browser Focus","关于Browser Focus的下一个"
"No Action Selected",没有选择行动
"No Corner",没有角落
"No Follow",没有关注
"No Interaction",没有互动
"No Layers Selected",没有选择图层
"No Lazy Loading",没有延迟加载
"No Poster on Mobile",手机上没有海报
"No Shadow",没影子
"No Special Effect",没有特效
"No Spikes",没有尖峰
"No Sticky Keyframes",没有粘性关键帧
"No Style",没有风格
"No data received",未收到数据
"No file sent.",没有发送文件。
"No further source settings needed. Content is created manually.",无需进一步的源设置。内容是手动创建的。
"No options available for your current selection.",没有可供您当前选择的选项。
"No slides found, please add at least one Slide Template to the choosen language.",没有Sliders发现，请至少添加一个Slide选择语言的模板。。
"No slides found, please add some slides","没有Sliders发现，请加一些 slides"
None,没有
Normal,正常
Notebook,笔记本
"Number of Comments",评论数量
"Number of Likes",喜欢的数量
"Number of Views",观看次数
"Object Library",对象库
Objects,对象
"Offset (Tilt) Effect",偏移（倾斜）效果
"Offset to Scroll Position",偏移到滚动位置
"On - Skip 1st Time Slide","On  -  Skip 1st Time Slide"
"On Background Enabled",在启用背景上
"On IE8",在IE8上
"On Mobile",在移动
"On Mobile and IE8",在移动和IE8上
"On Scroll",在滚动
"On Scroll Details",在滚动详细信息上
"On Scroll can be Added per Slider in the General Options",可以在“常规选项”中为每个滑块添加“滚动”
"On Stage",在舞台上
"Only 1st Time Slide shown",只有第一次Slide显示
"Only Manual &lt;br/&gt;","只有手动＆lt; br /＆gt;"
"Only Poster on Mobile",只有移动海报
"Open Document",打开文档
"Open Modal",打开弹出
"Open Slide",打开Slide
"Option is depricated and will be removed in upcoming updates !",选项已被删除，将在即将发布的更新中删除！
"Optional OGV Source",可选的OGV来源
"Optional WEBM Source",可选的WEBM源
Orientation,取向
Origin,起源
Original,原版的
"Original Size",原始尺寸
"Other 1. Slide",其他1.Slide
"Outer Horizontal",外水平
"Outer Vertical",外垂直
"Output Filter",输出滤波器
"Over Layers (Front)",在图层上（正面）
Overflow,溢出
Overlay,覆盖
Overline,上划线
"Override Style on Slide",覆盖样式Slide
"Page URL",页面URL
"Pan Zoom Settings",平移缩放设置
Parallax,视差
"Parallax & 3D",视差和3D
"Parallax & 3D Settings",视差和3D设置
"Parallax Enabled",视差已启用
"Parallax Level",视差水平
"Parallax Orig.",原版的Parallax。
"Parameter 1",参数1
"Parameter 10",参数10
"Parameter 2",参数2
"Parameter 3",参数3
"Parameter 4",参数4
"Parameter 5",参数5
"Parameter 6",参数6
"Parameter 7",参数7
"Parameter 8",参数8
"Parameter 9",参数9
Parameters,参数
Paste,糊
Pause,暂停
"Pause Slider",暂停Slider
"Pick an Item",选择一个项目
"Place the shortcode on the page or post where you want to show this modal.",将短代码放在页面上或发布您要显示此模式的位置。
"Place the shortcode on the page or post where you want to show this module.",将短代码放在要显示此模块的页面或帖子上。
Placeholder,占位符
Playlist,播放列表
"Please <a target=""_blank"" href=""https://dev.twitter.com/apps"">register</a> your application with Twitter<br>to get the right values","请使用Twitter <br> <a target=""_blank"" href=""https://dev.twitter.com/apps"">注册</a>您的应用程序，以获得正确的价值"
"Please <a target=""_blank"" href=""https://developers.facebook.com/docs/apps/register"">register</a> your Website app with Facebook<br>to get the right values","请使用Facebook <br> <a target=""_blank"" href=""https://developers.facebook.com/docs/apps/register"">注册</a>您的网站应用，以获得正确的价值"
"Please Wait...",请耐心等待...
"Please activate Slider Revolution","请激活Slider Revolution"
"Please follow this link to edit the Slider:",请点击此链接进行编辑Slider：
"Please select an Addon to start with.",请选择一个Addon开头。
"Please select the correct zip file, checksum failed!",请选择正确的zip文件，校验和失败！
"Plugin Updates",插件更新
"Plugin not activated",插件未激活
"Pointer Event",指针事件
Position,位置
"Position & Size",位置和大小
"Post Title",帖子标题
"Post content",发布内容
"Post content limit by chars",通过字符发布内容限制
"Post content limit by words",通过单词发布内容限制
"Poster Image",海报图片
"Poster from Stream if exist",如果存在，来自Stream的海报
"Poster in Pause",暂停海报
Preload,预载
"Prepared for slide change",准备好了slide更改
Preset,预置
"Preset handle already exists, please choose a different name",预设手柄已存在，请选择其他名称
"Preset not found",预设未找到
"Preset not found in default navigations",默认导航中未找到预设
Presets,预置
"Prev Size",上一个尺寸
"Prev. Slide as jQuery Object",以前Slide如jQuery对象
Preview,预习
"Preview Image",预览图片
"Previous Slide",以前Slide
"Previous Slide as jQuery Object","以前Slide如jQuery对象
"
"Previous Step",前一步
Product,产品
Progress,进展
"Progress Bar",进度条
"Pub. Rules",发布规则
Publish,发布
Published,发布时间
"Purchase Code is invalid",购买代码无效
"Put JS to Body",把JS放到Body身上
"Quick Style",快速风格
"Quick Style Content",快速风格内容
"Quick Style Headline",快速风格标题
"Quit Guide",退出指南
"RTL Direction",RTL方向
Random,随机
"Random Order",随机顺序
ReTweets,锐推
"Read <a target=""_blank"" href=""http://weblizar.com/get-flickr-api-key/"">here</a> how to receive your Flickr API key","阅读<a target=""_blank"" href=""http://weblizar.com/get-flickr-api-key/"">此处</a>如何接收您的Flickr API密钥"
"Recalculate all positions, sizing etc in the slider.  This should be called i.e. if Slider was invisible and becomes visible without any window resize event.",重新计算滑块中的所有位置，大小等。这应该被调用，即如果Slider是不可见的并且在没有任何窗口调整大小事件的情况下变得可见。
Rectangle,长方形
"Redraw Slider",重绘Slider
"Refresh Source",刷新源
"Register Purchase Code",注册购买代码
"Register to Unlock",注册解锁
"Register to unlock all Premium Features",注册以解锁所有高级功能
Registered,注册
Regular,定期
Rel,相对
Remove,去掉
"Remove One Slide with Slide Index from the Slider. Index starts with 0 which will remove the first slide.","删除一个Slide同Slide索引来自Slider 。索引从0开始，将删除第一个slide。"
"Remove Poster",删除海报
"Remove Slide",去掉Slide
Repeat,重复
Replies,回复
Reset,重启
"Reset Children Timeline",重置儿童时间表
"Reset Children Timelines",重置儿童时间表
"Reset Style",重置样式
"Reset before each Loop",在每个循环之前重置
"Resize Between Devices",在设备之间调整大小
"Respect Ratio",尊重比率
Responisvity,响应度
"Responsive Behavior",响应行为
"Responsive Between Devices",设备之间的响应
"Responsive Children",反应迅速的孩子
"Responsive Offsets",响应抵消
Responsivity,响应度
"Restriction !<br>Children Layers of Group, Column and Row will simply restart, without animation from the last loop Frame to first loop frame, independent of the Animate to ""start"" in Loop enabled option.",限制！<br>子组，列和行的子层将只是重新启动，没有动画从最后一个循环帧到第一个循环帧，独立于启用循环选项中的Animate到“start”。
"Resume Slider",恢复Slider
"Retweet Count",转推计数
Reverse,相反
"Reverse Scroll",反向滚动
"Rewind at Start",在开始时回放
Right,对
"Right Arrow",右箭头
"Right Bottom",右下角
"Right Corner",右上角
"Right Spike",右尖刺
"Right Top",右上角
Rotate,旋转
Rotation,回转
Row,行
"Row Position",行位置
"Row Settings",行设置
"SVG Color",SVG颜色
"SVG Hover Style",SVG悬停风格
"Same Window",同一个窗口
"Sans-Serif Fonts",Sans-Serif字体
Save,保存
"Save Configuration",保存配置
"Save Global Settings",保存全局设置
"Save Navigation",保存导航
Scale,规模
Scene,现场
"Scroll Based Features",基于滚动的功能
"Scroll Effects",滚动效果
"Scroll Effects Default",滚动效果默认值
"Scroll Effects Settings",滚动效果设置
"Scroll Offset",滚动偏移
"Scroll Position",滚动位置
"Scroll based Effects",基于滚动的效果
"Scroll page under the slider.",滚动页面下slider。
"Scroll to ID",滚动到ID
"Search Modules...",搜索模块......
"See how to find the Youtube channel ID <a target=""_blank"" href=""https://support.google.com/youtube/answer/3250431?hl=en"">here</a>","了解如何查找Youtube频道ID <a target=""_blank"" href=""https://support.google.com/youtube/answer/3250431?hl=en"">此处</a>"
Select,选择
"Select Album",选择相册
"Select Playlist",选择播放列表
Selectable,可选
Sensibility,感性
"Serif Fonts",Serif字体
"Set All Visible",设置全部可见
"Set all Timings",设置所有计时
"Set as Editor View",设置为编辑器视图
Settings,设置
Shadow,阴影
"Shadow Color",阴影颜色
"Shadow Type",阴影类型
"Shadow on",阴影
Shape,形状
"Shape Layer Content",形状图层内容
"Sharp Corner Extensions",锐角扩展
Shortcode,短代码
"Show All",显示所有
"Show Always",显示始终
"Show Delay",显示延迟
"Show Highlight Boxes",显示突出显示框
"Show Last Edited Slide",显示上次编辑Slide
"Show Speed",显示速度
"Show all Modules",显示所有模块
"Show if mouse over Slider",显示鼠标悬停Slider
"Show in Editor",在编辑器中显示
"Show/Hide Selected",显示/隐藏选定的
"Sign Up",注册
"Signup to our Newsletter",注册我们的时事通讯
"Simplify on IOS4 / IE8","在IOS4 / IE8上简化"
"Simulate Click",模拟单击
Single,单
"Single Layer Sticky",单层粘性
"Single Select",单选
Size,尺寸
"Size & Pos",尺寸和位置
"Size Presets",大小预设
Sizing,浆纱
"Skip Preload",跳过预加载
"Slide Animation","Slide 动画"
"Slide BG Animation","Slide 背景动画"
"Slide Description","Slide 描述"
"Slide Direction based Mirroring","Slide 基于方向的镜像"
"Slide Duration","Slide 持续时间"
"Slide Length","Slide 长度"
"Slide Link","Slide 链接"
"Slide Options","Slide 选项"
"Slide Title","Slide 标题"
"Slide could not be duplicated","Slide 无法复制"
"Slide not found in the main slides of the slider. Maybe it","Slide 主要没找到slides的slider 。也许吧"
"Slider After Swap","Slider 交换后"
"Slider Before Swap","Slider 在交换之前"
"Slider Center","Slider 中央"
"Slider Layout","Slider 布局"
"Slider Loaded","Slider 加载"
"Slider Overflow Hidden","Slider 溢出隐藏"
"Slider Stopped","Slider 停止"
"Slider Timer keep going",Slider定时器继续
"Slider Timer paused","Slider 定时器暂停"
"Slider as Modal","Slider 弹出"
"Slider is Playing after pause","Slider 暂停后播放"
"Slider paused","Slider 暂停"
"Slider reached the 'stop at' slide","Slider 达到'停在'slide"
"Slider swapped to an other slide","Slider 交换到另一个slide"
"Slides (<25)",Slides（<25）
"Slides (<500)","Slides （<500）"
"Slides (<60)","Slides （<60）"
"Slides default Enabled","Slides 默认启用"
Slideshow,幻灯片
"Slot Amount",槽金额
Small,小
"Small 320",小320
Smart,聪明
Social,社会
"Social Basics (Flickr, Instagram, Twitter, Facebook, YouTube)",社交基础知识（Flickr，Instagram，Twitter，Facebook，YouTube）
Solid,固体
"Sorry, this Social Stream cannot be displayed.",抱歉，无法显示此社交流。
"Sort Direction",排序方向
"Sort by Creation",按创建排序
"Sort by Title",按标题排序
"Sorting & Settings",排序和设置
Source,资源
"Source Size",来源大小
"Source Type",来源类型
"Source must be from Stream",来源必须来自Stream
Source:,资源：
Spacings,间距
Span,跨度
"Specific Posts",具体帖子
Speed,速度
"Spike Masks",穗状面具
"Spike Width",尖峰宽度
Spinner,微调
"Spinner Color",旋转器颜色
